GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000000003	43	85	3	396	0	85
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	272	326	28	81	0	326
ENSG00000000457	119	791	0	51	1	791
ENSG00000000460	158	1	0	57	452	1
ENSG00000000938	0	0	0	0	0	0
ENSG00000000971	0	42	0	0	0	42
ENSG00000001036	17	739	0	405	48	739
ENSG00000001084	48	846	0	1091	329	846
ENSG00000001167	429	145	0	879	0	145
ENSG00000001460	86	449	0	723	0	449
ENSG00000001461	3236	3803	14713	4906	7359	3803
ENSG00000001497	4844	4803	24	6359	3269	4803
ENSG00000001561	3	89	0	275	529	89
ENSG00000001617	0	0	0	0	0	0
ENSG00000001626	2	0	0	0	0	0
ENSG00000001629	1137	863	0	786	1783	863
ENSG00000001630	99	122	383	80	16	122
ENSG00000001631	1445	360	2140	642	395	360
ENSG00000002016	837	1306	1	1158	2789	1306
ENSG00000002079	0	0	0	0	0	0
ENSG00000002330	863	510	243	233	15	510
ENSG00000002549	869	2242	1	2141	8139	2242
ENSG00000002586	4102	5443	71	3392	7344	5443
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	0	1	0	0	0	1
ENSG00000002745	0	0	0	0	0	0
ENSG00000002746	0	0	6	1	0	0
ENSG00000002822	674	360	0	360	423	360
ENSG00000002834	890	1762	26	1878	1027	1762
ENSG00000002919	1277	808	0	450	694	808
ENSG00000002933	0	0	0	0	0	0
ENSG00000003056	4488	3094	15444	4469	5577	3094
ENSG00000003096	0	0	0	0	0	0
ENSG00000003137	0	0	0	0	0	0
ENSG00000003147	106	106	1	122	3872	106
ENSG00000003249	2	0	19	0	1	0
ENSG00000003393	2	402	0	470	0	402
ENSG00000003400	696	0	5	412	4	0
ENSG00000003402	3138	2535	40	3080	2149	2535
ENSG00000003436	0	0	0	0	0	0
ENSG00000003509	628	876	0	1464	1408	876
ENSG00000003756	3189	4473	1878	4894	5318	4473
ENSG00000003987	0	0	0	0	3	0
ENSG00000003989	0	0	0	0	0	0
ENSG00000004059	5251	4503	29	3431	6966	4503
ENSG00000004139	467	365	3	194	0	365
ENSG00000004142	860	5384	4668	1972	5174	5384
ENSG00000004399	558	1668	0	234	0	1668
ENSG00000004455	3101	3516	3	2500	10063	3516
